Temperature(°C),Dew point temperature(°C),Wind speed (m/s),Humidity(%),Visibility (10m),Hour,Rented Bike Count
2.1,-7.2,2.0,50,1434,17,552
0.7,-9.6,2.7,46,1558,18,795
-0.4,-10.3,2.5,47,1269,19,507
-1.4,-11.2,2.5,47,1620,20,390
-2.2,-12.2,2.2,46,1975,21,402
-2.7,-12.2,2.6,48,1844,22,389
-3.2,-12.1,2.1,50,1887,23,259
-3.5,-12.6,2.6,49,1893,0,233
-3.7,-12.6,2.5,50,1902,1,230
-4.3,-12.4,1.0,53,1918,2,131
-4.8,-13.1,1.6,52,1978,3,99
-5.3,-13.4,2.4,53,1936,4,71
-5.8,-13.1,2.0,56,1941,5,84
-6.0,-13.3,3.5,56,1853,6,158
-6.5,-13.6,0.8,57,1776,7,387
-7.0,-13.6,0.8,59,1559,8,780
-6.7,-15.4,0.9,50,1492,9,395
-5.3,-15.6,2.8,44,1516,10,261
-3.7,-15.6,1.4,39,1595,11,310
-2.0,-17.3,1.4,30,1728,12,355
-1.7,-17.8,1.8,28,1963,13,354
-1.3,-17.9,3.1,27,1906,14,350
-0.8,-17.9,3.3,26,1977,15,362
-1.1,-19.1,3.4,24,2000,16,401
-2.4,-17.6,2.7,30,2000,17,500
-3.1,-17.1,1.2,33,2000,18,752
-3.3,-16.6,1.1,35,2000,19,477
-3.3,-16.9,1.5,34,2000,20,384
-3.3,-16.6,0.5,35,2000,21,336
-3.4,-15.4,1.2,39,2000,22,347
-3.5,-14.3,0.9,43,2000,23,275
-3.5,-12.9,0.9,48,1967,0,267
-4.1,-13.2,0.6,49,2000,1,296
-4.7,-13.5,0.7,50,1983,2,237
-4.3,-13.9,0.6,47,1992,3,169
-4.3,-13.4,0.7,49,2000,4,96
-4.7,-13.8,0.8,49,1999,5,56
-5.1,-13.2,0.9,53,1975,6,76
-5.5,-12.9,0.8,56,1950,7,127
-5.4,-12.8,0.7,56,1940,8,222
-4.7,-14.0,1.0,48,1784,9,291
-2.2,-13.4,1.3,42,1646,10,273
0.0,-10.5,1.1,45,1500,11,351
2.4,-9.8,0.8,40,1809,12,427
3.9,-9.8,2.0,36,1702,13,431
4.7,-10.6,2.2,32,1948,14,486
5.2,-11.0,2.0,30,1963,15,569
4.4,-10.5,1.6,33,1963,16,546
3.5,-9.8,1.8,37,1963,17,481
2.5,-9.4,1.0,41,1974,18,384
1.5,-8.3,0.4,48,1878,19,275
0.8,-8.2,1.4,51,1848,20,298
-0.1,-8.0,0.7,55,1654,21,321
-0.5,-8.4,0.6,55,1655,22,289
-0.1,-8.3,1.3,54,1570,23,265
-0.2,-8.1,1.0,55,1629,0,326
-0.2,-8.4,0.5,54,1747,1,280
0.2,-8.5,0.7,52,1726,2,243
0.3,-8.1,0.5,53,1748,3,169
0.4,-8.3,1.6,52,1816,4,71
0.3,-3.7,1.0,74,178,5,13
-0.5,-1.9,0.9,90,91,6,9
-0.4,-1.5,1.1,92,121,7,20
-0.2,-1.6,1.2,90,378,8,35
0.2,-1.2,1.0,90,305,9,31
0.5,-0.8,0.4,91,143,10,19
0.9,-0.2,0.9,92,137,11,58
2.3,0.5,0.3,88,245,12,119
3.3,1.3,1.1,87,230,13,182
4.2,1.8,0.7,85,325,14,235
6.7,0.1,4.5,63,715,15,180
5.4,0.5,3.5,71,622,16,214
3.6,-2.3,4.3,65,1061,17,226
2.0,-4.7,3.0,61,2000,18,210
1.6,-6.9,4.0,53,2000,19,181
0.6,-6.9,3.9,57,1954,20,165
0.0,-7.0,3.0,59,1862,21,167
-1.0,-8.6,4.7,56,2000,22,152
-1.4,-12.3,4.3,43,2000,23,148
-2.5,-14.5,3.4,39,2000,0,125
-3.4,-16.3,3.8,36,2000,1,111
-4.2,-17.4,3.4,35,2000,2,67
-4.7,-16.8,2.4,38,2000,3,45
-5.2,-18.3,3.2,35,2000,4,44
-5.6,-17.6,3.2,38,1974,5,86
-5.9,-17.6,2.9,39,1979,6,136
-6.0,-17.7,3.1,39,1996,7,325
-6.0,-18.0,3.6,38,1994,8,653
-5.9,-18.6,5.1,36,1941,9,326
-5.3,-19.4,4.5,32,2000,10,212
-4.7,-17.5,3.8,36,2000,11,226
-5.2,-19.0,4.6,33,1973,12,247
-5.4,-19.5,5.1,32,1986,13,241
-5.4,-19.9,4.1,31,1945,14,253
-5.5,-19.2,4.5,33,2000,15,269
-6.0,-17.4,4.0,40,2000,16,277
-7.1,-17.3,4.2,44,2000,17,361
-7.9,-18.3,3.3,43,2000,18,557
-8.6,-18.4,3.9,45,2000,19,371
-9.3,-18.0,3.8,49,2000,20,254
-9.7,-17.9,2.5,51,2000,21,266
-10.2,-18.6,3.0,50,2000,22,222
-10.7,-18.4,1.2,53,2000,23,174
-11.0,-19.1,1.1,51,2000,0,133
-11.2,-19.3,1.1,51,2000,1,127
-11.5,-19.8,0.7,50,2000,2,95
-11.6,-19.9,2.2,50,1995,3,54
-11.6,-20.6,2.1,47,1982,4,46
-11.6,-21.1,2.8,45,1951,5,65
-11.8,-20.8,2.5,47,1973,6,104
-12.1,-20.4,2.3,50,1929,7,280
-12.3,-20.1,1.3,52,1914,8,580
-11.8,-21.1,2.9,46,1956,9,275
-10.5,-20.1,3.3,45,1855,10,184
-9.4,-19.9,3.1,42,1815,11,201
-8.3,-21.0,2.9,35,1967,12,228
-6.9,-19.1,2.4,37,1955,13,225
-5.4,-19.5,2.0,32,1930,14,258
-5.8,-20.6,2.8,30,2000,15,250
-6.0,-21.2,2.8,29,1983,16,248
-7.0,-20.9,2.6,32,2000,17,305
-7.7,-20.2,1.0,36,2000,18,529
-8.2,-18.5,1.1,43,2000,19,350
-8.4,-19.0,1.0,42,2000,20,260
-8.8,-19.1,1.4,43,1999,21,270
-9.0,-18.7,1.3,45,1999,22,256
-9.3,-18.5,2.1,47,2000,23,173
-9.5,-18.4,1.3,48,1996,0,168
-10.2,-18.2,1.6,52,1997,1,183
-10.4,-18.1,1.8,53,1949,2,120
-10.9,-18.1,1.8,55,1913,3,79
-11.4,-18.0,1.3,58,1907,4,41
-11.5,-18.1,1.1,58,1923,5,68
-11.9,-18.7,1.1,57,1974,6,109
-11.7,-19.3,1.6,53,1998,7,310
-11.4,-20.4,3.3,47,2000,8,591
-11.1,-20.4,3.4,46,1981,9,340
-9.5,-20.9,2.1,39,1875,10,202
-8.1,-20.9,1.8,35,1806,11,251
-6.5,-21.2,2.9,30,1945,12,267
-5.8,-21.4,2.9,28,1887,13,251
-4.7,-20.8,2.9,27,1883,14,240
-4.9,-21.5,3.1,26,1887,15,240
-4.5,-21.1,2.2,26,2000,16,278
-5.6,-20.8,1.7,29,2000,17,392
-6.6,-20.2,1.1,33,2000,18,537
-6.6,-20.9,1.6,31,2000,19,373
-7.6,-20.4,0.8,35,2000,20,263
-8.3,-19.8,1.0,39,2000,21,271
-8.9,-20.3,0.1,39,2000,22,271
-9.2,-19.2,0.4,44,1978,23,174
-9.5,-18.0,0.6,50,1953,0,171
-9.8,-18.7,0.8,48,2000,1,170
-10.6,-20.5,0.8,44,1903,2,107
-10.7,-19.6,0.4,48,1651,3,80
-11.0,-19.4,0.8,50,1718,4,52
-10.8,-19.6,0.8,48,1648,5,62
-11.0,-18.2,0.8,55,1541,6,108
-10.9,-17.7,1.1,57,1387,7,279
-10.4,-17.9,1.1,54,1432,8,621
-9.4,-19.4,0.5,44,1680,9,305
-7.7,-18.1,0.9,43,1555,10,189
-6.1,-18.1,1.0,38,1587,11,247
-4.9,-18.3,1.3,34,1768,12,278
-3.8,-18.1,0.9,32,1827,13,282
-2.7,-18.7,0.7,28,1857,14,294
-2.5,-18.1,1.1,29,1667,15,301
-2.4,-18.4,0.9,28,1878,16,335
-2.9,-17.7,0.6,31,1723,17,382
-3.5,-16.7,1.1,35,1414,18,612
-4.2,-15.8,0.9,40,1216,19,410
-4.8,-15.4,1.1,43,1397,20,277
-4.8,-14.9,0.8,45,1351,21,316
-4.9,-15.3,1.1,44,1369,22,309
-5.6,-13.6,1.2,53,1290,23,211
-5.7,-13.7,0.6,53,1262,0,227
-6.3,-13.4,0.4,57,1148,1,241
-6.8,-13.6,0.4,58,1089,2,162
-6.9,-14.2,0.5,56,1111,3,110
-7.1,-13.7,0.8,59,1058,4,69
-7.5,-13.1,0.9,64,989,5,68
-7.4,-13.0,0.7,64,906,6,129
-7.0,-12.8,0.6,63,865,7,285
-6.6,-12.2,1.1,64,791,8,658
-5.9,-12.4,0.6,60,691,9,330
-4.6,-12.9,0.8,52,648,10,221
-2.9,-12.9,1.0,46,809,11,279
-2.5,-13.3,0.7,43,895,12,309
-1.6,-13.4,0.3,40,868,13,325
-0.7,-12.9,0.8,39,826,14,329
0.1,-13.5,1.5,35,946,15,342
0.0,-12.9,0.6,37,994,16,354
-0.2,-12.5,0.8,39,1016,17,464
0.1,-11.0,0.9,43,1485,18,682
0.6,-11.1,1.2,41,1550,19,451
0.9,-10.5,1.2,42,1113,20,320
0.7,-9.3,2.7,47,1283,21,300
-0.1,-9.5,2.0,49,870,22,296
-1.3,-8.0,2.5,60,792,23,247
-2.6,-6.7,3.4,73,787,0,217
-3.4,-7.0,2.9,76,582,1,302
-4.1,-8.2,2.1,73,567,2,228
-4.5,-8.9,1.6,71,651,3,129
-5.0,-9.6,2.7,70,702,4,80
-5.6,-9.8,2.0,72,662,5,45
-6.1,-10.8,2.9,69,765,6,66
-6.7,-12.3,2.1,64,977,7,90
-7.3,-13.3,2.6,62,1112,8,190
-7.2,-16.6,2.8,47,1724,9,195
-6.2,-17.0,2.3,42,1893,10,201
-5.2,-20.1,4.0,30,1991,11,239
-4.1,-19.9,3.8,28,1998,12,252
-3.7,-21.8,4.0,23,1980,13,296
-3.4,-22.1,4.3,22,1966,14,292
-3.3,-22.0,5.0,22,2000,15,291
-3.3,-21.0,3.5,24,2000,16,258
-4.6,-21.2,2.6,26,2000,17,277
-5.3,-21.0,3.5,28,2000,18,212
-6.0,-20.0,2.4,32,2000,19,173
-6.6,-18.9,3.4,37,2000,20,143
-7.1,-18.7,3.2,39,2000,21,159
-7.6,-18.6,1.6,41,2000,22,155
-8.0,-18.9,2.2,41,2000,23,142
-8.1,-19.0,2.0,41,2000,0,175
-8.4,-19.6,1.6,40,2000,1,146
-8.7,-19.8,2.8,40,2000,2,132
-9.0,-20.1,3.1,40,2000,3,100
-9.5,-20.6,1.9,40,2000,4,41
-9.7,-20.5,3.1,41,2000,5,31
-9.9,-20.4,2.3,42,2000,6,39
-10.2,-20.6,2.3,42,2000,7,53
-10.7,-20.8,0.9,43,2000,8,94
-10.5,-22.1,1.1,38,1950,9,122
-8.5,-22.6,1.5,31,1997,10,142
-7.2,-22.2,1.8,29,1926,11,189
-4.9,-21.9,2.6,25,1966,12,216
-4.5,-21.6,3.2,25,1989,13,223
-3.2,-20.0,3.1,26,1933,14,268
-2.5,-18.5,2.0,28,2000,15,278
-2.7,-17.5,2.3,31,2000,16,256
-3.8,-17.0,2.4,35,2000,17,266
-4.7,-17.2,1.8,37,2000,18,204
-5.6,-17.3,1.1,39,2000,19,157
-6.0,-16.8,0.8,42,2000,20,166
-6.5,-16.4,0.7,45,2000,21,168
-6.6,-15.3,0.6,50,1990,22,172
-6.9,-14.8,0.7,53,2000,23,138
-5.9,-14.6,0.6,50,2000,0,151
-5.3,-14.6,0.4,48,1664,1,97
-5.0,-10.5,0.4,65,990,2,38
-5.3,-8.8,1.0,76,767,3,32
-5.4,-8.1,0.7,81,270,4,29
-5.3,-8.0,0.9,81,923,5,27
-5.2,-7.3,0.9,85,271,6,45
-5.0,-7.1,0.7,85,186,7,96
-4.6,-6.5,1.2,86,508,8,146
-4.3,-5.8,1.0,89,59,9,52
-3.7,-5.5,1.0,87,541,10,36
-2.9,-5.0,1.2,85,243,11,44
-1.8,-4.3,1.2,83,351,12,62
-0.9,-3.2,1.2,84,333,13,76
0.5,-3.2,0.9,76,364,14,116
1.6,-2.7,0.9,73,421,15,137
1.8,-1.9,0.8,76,410,16,181
0.4,-1.9,0.8,84,317,17,175
0.0,-1.7,0.6,88,277,18,281
1.3,-4.5,1.1,65,1122,19,198
3.3,-2.6,3.2,65,1172,20,165
2.8,-1.5,2.4,73,831,21,148
1.5,-1.2,2.4,82,537,22,160
0.1,-2.7,2.9,81,551,23,128
-1.0,-5.2,2.3,73,881,0,122
-2.0,-6.3,0.8,72,979,1,122
-2.7,-7.0,0.9,72,990,2,93
-2.8,-9.9,1.6,58,1315,3,55
-2.9,-9.8,1.8,59,1286,4,39
-3.9,-9.3,0.7,66,1209,5,55
-4.3,-8.9,1.6,70,1169,6,78
-4.4,-10.1,2.8,64,1367,7,165
-5.2,-12.1,2.2,58,1594,8,390
-5.3,-14.6,2.6,48,1810,9,199
-4.6,-15.8,2.8,41,1815,10,151
-3.5,-16.7,2.2,35,1742,11,174
-2.5,-17.3,2.6,31,1778,12,191
-2.2,-19.6,3.2,25,1970,13,189
-2.2,-20.5,3.7,23,1971,14,178
-1.3,-18.3,3.0,26,2000,15,195
-1.8,-16.7,3.1,31,1993,16,211
-2.7,-16.0,1.8,35,2000,17,256
-3.8,-14.8,3.3,42,2000,18,384
-4.5,-13.1,2.0,51,2000,19,276
-4.9,-12.5,2.0,55,2000,20,225
-5.0,-12.2,1.9,57,2000,21,224
-5.5,-12.9,1.5,56,2000,22,213
-5.8,-12.9,1.7,57,2000,23,149
-6.5,-12.3,1.5,63,1666,0,142
-7.3,-12.3,1.1,67,1593,1,172
-7.8,-12.6,0.9,68,1642,2,108
-8.1,-12.6,1.3,70,1557,3,71
-8.5,-12.4,1.0,73,1723,4,38
-8.3,-13.3,0.9,67,1566,5,56
-8.2,-13.4,0.9,66,1718,6,97
-8.1,-13.1,0.9,67,1737,7,213
-7.8,-13.2,1.1,65,1738,8,466
-6.7,-12.7,1.1,62,1749,9,239
-5.4,-12.8,1.1,56,1751,10,162
-4.2,-12.8,1.1,51,1772,11,204
-3.2,-12.4,1.3,49,1723,12,209
-1.3,-12.3,1.0,43,1777,13,228
-0.5,-11.2,1.0,44,1793,14,243
-0.2,-10.7,1.0,45,1852,15,240
-0.5,-10.1,1.1,48,1722,16,225
-0.9,-5.6,1.1,70,299,17,237
-1.4,-4.5,1.6,79,702,18,329
-1.5,-4.3,1.8,81,751,19,190
-1.9,-3.9,0.9,86,700,20,165
-2.0,-4.5,1.2,83,904,21,197
-1.6,-4.2,0.4,82,929,22,184
-1.1,-2.9,1.4,87,349,23,153
-1.3,-2.7,2.0,90,259,0,166
-1.8,-3.2,1.6,90,263,1,189
-2.2,-3.9,1.4,88,348,2,132
-2.9,-4.4,1.3,89,288,3,79
-3.6,-4.8,1.2,91,241,4,58
-4.3,-5.5,1.5,91,233,5,49
-4.8,-6.0,1.1,91,266,6,84
-5.3,-6.6,1.1,90,311,7,178
-5.6,-7.1,0.9,89,371,8,423
-5.3,-6.9,0.4,88,463,9,265
-3.0,-7.5,0.7,71,608,10,169
-0.7,-7.0,0.7,62,519,11,243
1.9,-10.3,2.0,40,1835,12,290
3.2,-8.5,1.8,42,1349,13,285
4.3,-6.0,2.3,47,953,14,255
4.4,-6.2,1.4,46,1113,15,316
4.1,-5.1,1.8,51,1112,16,301
2.9,-4.1,1.3,60,1193,17,366
1.7,-4.3,1.3,64,1140,18,531
0.8,-3.8,0.9,71,923,19,355
0.2,-4.2,0.7,72,990,20,288
-0.4,-4.4,0.6,74,1065,21,248
-1.1,-4.4,0.6,78,865,22,252
-1.5,-4.6,0.6,79,821,23,212
-1.7,-4.8,0.5,79,794,0,196
-1.6,-4.7,0.6,79,784,1,250
-1.1,-4.2,0.7,79,736,2,161
-0.6,-4.3,0.5,76,789,3,99
-0.3,-4.0,0.9,76,760,4,64
-0.2,-4.4,0.8,73,880,5,76
-0.1,-4.7,0.8,71,895,6,114
-0.3,-4.7,0.7,72,919,7,283
-0.4,-5.4,0.5,69,904,8,544
0.3,-5.1,0.7,67,897,9,298
1.4,-4.6,1.0,64,897,10,248
3.1,-4.6,0.8,57,804,11,278
4.5,-3.5,0.8,56,836,12,301
5.4,-2.9,1.2,55,820,13,320
5.9,-2.4,0.6,55,779,14,326
6.5,-1.9,0.9,55,801,15,386
6.0,-1.6,0.7,58,732,16,416
5.4,-1.5,1.3,61,691,17,477
4.9,-1.5,0.6,63,677,18,671
5.2,-1.0,0.7,64,691,19,481
5.9,0.2,1.3,67,779,20,323
6.1,1.0,2.2,70,763,21,309
6.1,1.0,2.7,70,806,22,314
5.8,1.5,2.5,74,832,23,249
5.8,1.7,1.9,75,788,0,282
5.7,1.6,1.7,75,706,1,337
5.6,1.6,1.6,76,641,2,312
5.4,1.6,1.6,77,583,3,230
5.3,1.9,0.9,79,506,4,120
5.0,2.0,1.2,81,425,5,59
5.1,2.1,1.3,81,375,6,63
5.1,2.2,0.7,82,334,7,99
5.1,2.4,0.9,83,297,8,188
5.2,2.7,0.7,84,226,9,239
5.4,2.5,1.2,82,215,10,235
5.7,2.6,1.1,81,192,11,282
7.0,2.2,1.9,72,246,12,325
7.7,2.1,1.0,68,249,13,423
8.6,1.9,1.6,63,263,14,405
8.6,2.1,1.5,64,269,15,443
8.2,1.7,1.0,64,281,16,473
7.7,1.9,0.9,67,264,17,453
6.6,2.0,0.4,73,229,18,340
6.0,2.0,1.1,76,219,19,260
5.9,1.7,1.5,75,222,20,258
5.6,1.8,0.9,77,212,21,279
5.3,1.9,0.6,79,200,22,282
5.5,2.3,0.6,80,185,23,237
5.6,2.0,0.6,78,196,0,266
5.6,2.0,0.5,78,197,1,251
5.4,2.2,0.9,80,190,2,196
5.2,2.3,0.8,82,190,3,149
5.2,2.3,0.7,82,189,4,79
5.1,2.2,0.6,82,185,5,44
4.9,2.4,1.3,84,159,6,12
4.7,3.0,1.1,89,100,7,3
4.6,3.2,1.7,91,95,8,4
4.6,3.7,0.9,94,90,9,3
4.8,4.2,0.6,96,87,10,4
4.6,3.8,0.8,95,156,11,9
4.1,2.7,0.8,91,404,12,4
3.7,2.2,0.7,90,744,13,7
3.3,1.8,2.5,90,561,14,28
2.9,1.4,2.0,90,380,15,38
2.3,0.9,3.3,91,270,16,54
2.2,0.0,2.6,86,605,17,104
1.9,-0.8,4.3,82,699,18,128
1.1,-4.1,4.4,68,695,19,132
0.6,-4.8,3.3,67,506,20,116
0.4,-4.6,3.5,69,477,21,145
0.2,-4.8,2.7,69,565,22,110
0.0,-6.2,3.2,63,884,23,128
-0.6,-6.5,2.4,64,1010,0,160
-1.2,-8.6,4.3,57,1429,1,132
-1.8,-10.1,4.1,53,1825,2,115
-2.3,-10.8,3.4,52,1947,3,100
-3.0,-11.7,3.2,51,2000,4,72
-3.7,-12.3,2.6,51,2000,5,32
-4.1,-13.0,3.0,50,2000,6,59
-4.6,-14.4,2.8,46,2000,7,61
-4.9,-15.3,3.0,44,2000,8,94
-4.6,-16.1,3.5,40,2000,9,107
-3.7,-16.9,3.7,35,1937,10,133
-2.8,-16.1,2.9,35,1984,11,179
-1.6,-15.8,2.5,33,1874,12,221
-1.5,-15.7,3.8,33,2000,13,244
-0.4,-15.5,2.0,31,2000,14,274
0.4,-16.0,2.5,28,2000,15,319
0.4,-16.4,2.0,27,2000,16,272
-0.7,-16.5,2.0,29,2000,17,260
-1.6,-15.8,2.0,33,2000,18,237
-1.8,-13.3,2.1,41,2000,19,184
-2.1,-11.4,1.7,49,2000,20,181
-1.7,-10.5,1.7,51,2000,21,185
-1.3,-9.6,1.7,53,2000,22,176
-1.0,-8.9,1.9,55,2000,23,169
-1.4,-8.6,1.0,58,1880,0,178
-1.5,-7.8,1.3,62,2000,1,127
-2.1,-7.0,1.0,69,1995,2,85
-2.6,-7.3,1.0,70,1992,3,72
-2.6,-6.9,1.4,72,1929,4,49
-2.9,-6.3,0.8,77,1833,5,65
-2.8,-6.9,0.7,73,1906,6,120
-2.9,-7.0,1.9,73,1911,7,296
-2.7,-7.7,2.2,68,1919,8,578
-2.8,-11.3,2.9,52,1895,9,293
-2.2,-15.2,4.1,36,1930,10,180
-2.1,-18.2,4.9,28,1887,11,250
-1.3,-19.8,4.0,23,2000,12,262
-2.0,-25.2,4.7,15,1970,13,262
-1.6,-21.6,4.3,20,2000,14,271
-1.9,-23.7,5.0,17,2000,15,246
-1.9,-23.7,3.3,17,2000,16,282
-3.6,-23.3,3.7,20,2000,17,350
-4.7,-22.7,3.4,23,2000,18,481
-5.4,-21.5,3.0,27,2000,19,317
-6.1,-20.1,4.7,32,2000,20,252
-6.6,-18.2,3.2,39,2000,21,220
-7.2,-19.1,3.1,38,2000,22,213
-7.5,-19.7,3.1,37,2000,23,156
-7.9,-20.0,2.2,37,2000,0,133
