Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
527,1,12,3,2,2,0,13.85,0.026001976,161.521,2009,1794.331
1211,3,12,3,2,2,0,13.65,0.073209447,197.6426,2009,2768.3964
1429,4,7,9,2,2,1,12.6,0.041683481,31.29,1985,898.83
1554,4,15,6,1,0,3,7.365,0.042560252,226.172,1997,3169.208
1149,4,13,3,2,2,0,18.35,0.014081156,223.5746,2009,3589.9936
1201,3,9,3,2,2,0,5.465,0.0,132.5626,2009,262.3252
1105,4,1,2,2,1,3,18.6,0.152918384,99.8358,2007,1910.1802
1237,4,7,2,2,1,3,13.85,0.030969274,140.9154,2007,1701.7848
389,3,12,8,0,2,3,14.0,0.060376776,154.5656,1987,2471.4496
381,3,14,8,0,2,3,14.0,0.04192285,54.764,1987,1331.6
379,4,15,9,2,2,1,12.6,0.077367431,97.0094,1985,1808.9786
567,4,10,3,2,2,0,5.905,0.045838211,222.5456,2009,3315.684
1076,4,7,6,1,0,3,7.27,0.071077939,114.2518,1997,2618.5914
1073,3,6,6,1,0,3,6.155,0.094659871,214.556,1997,2769.728
1244,3,7,2,2,1,3,19.5,0.077608838,233.4958,2007,5375.0034
1535,4,10,2,2,1,3,15.2,0.021327477,216.8824,2007,2838.9712
317,3,10,3,2,2,0,12.15,0.042485444,125.0046,2009,1743.0644
1270,4,13,9,2,2,1,12.6,0.025578526,198.8084,1985,5555.4352
451,4,5,3,2,2,0,12.6,0.0489808,61.9194,2009,619.194
1243,4,3,7,1,1,3,14.5,0.019471688,164.821,2004,2120.573
440,4,15,2,2,1,3,16.6,0.122918852,173.0738,2007,3823.0236
1242,3,6,8,0,2,3,11.8,0.057373797,151.4366,1987,1360.2294
1239,3,15,8,0,2,3,13.1,0.044155597,178.8318,1987,3969.4996
1233,4,15,1,2,2,2,17.7,0.195979015,115.1834,1998,345.5502
547,2,5,1,2,2,2,17.85,0.0,196.5794,1998,585.2382
1104,3,2,4,2,1,3,12.3,0.064750025,92.6804,2002,1010.6844
1096,4,8,1,2,2,2,11.8,0.098312421,81.4618,1998,161.1236
1095,3,7,0,1,0,2,12.6,0.191013663,42.1112,1985,42.6112
1169,4,9,4,2,1,3,11.1,0.176573035,157.4604,2002,3010.7476
389,3,12,9,2,2,1,12.6,0.060134441,153.0656,1985,6024.1584
1178,4,6,4,2,1,3,11.3,0.007294652,198.1426,2002,988.713
1189,4,8,0,1,0,2,12.6,0.128478462,117.944,1985,239.688
783,3,11,8,0,2,3,5.75,0.075107656,112.8176,1987,1374.2112
1253,3,9,9,2,2,1,12.6,0.049381406,226.8062,1985,4739.8302
1459,3,14,3,2,2,0,11.35,0.045165796,100.0016,2009,1012.016
1033,3,15,0,1,0,2,12.6,0.09415375,165.7526,1985,657.8104
1144,4,8,5,2,0,3,14.0,0.028907832,130.431,1999,778.986
1142,3,12,4,2,1,3,19.75,0.018059621,179.766,2002,2336.958
1138,4,13,5,2,0,3,6.525,0.090436094,85.0882,1999,2233.0932
1136,4,6,5,2,0,3,10.3,0.146399712,103.9648,1999,1661.8368
1438,3,14,5,2,0,3,5.78,0.074264356,264.7568,1999,4745.8224
1157,3,15,4,2,1,3,11.85,0.050186726,164.1526,2002,3124.5994
1173,4,15,3,2,2,0,16.35,0.020631654,50.1324,2009,467.3916
740,4,13,9,2,2,1,12.6,0.01561108,182.5976,1985,5070.7328
1122,4,15,6,1,0,3,10.5,0.041395445,37.6164,1997,540.6296
1085,3,12,6,1,0,3,19.0,0.097313129,48.0718,1997,992.7078
755,4,3,5,2,0,3,14.6,0.059582996,238.8538,1999,6008.845
748,3,11,9,2,2,1,12.6,0.098663652,62.9194,1985,2105.2596
741,1,10,9,2,2,1,12.6,0.101338651,232.63,1985,5359.69
746,4,8,4,2,1,3,18.75,0.052146456,104.628,2002,745.696
1079,3,9,7,1,1,3,5.26,0.041764487,161.8868,2004,3275.736
1186,4,14,4,2,1,3,18.25,0.054344186,140.2154,2002,1701.7848
772,4,9,9,2,2,1,12.6,0.078362484,177.937,1985,6501.8699
1069,4,6,6,1,0,3,15.1,0.052339069,242.7512,1997,4119.9704
1068,3,9,1,2,2,2,15.5,0.042464962,81.5934,1998,327.5736
766,4,12,5,2,0,3,13.65,0.065732883,45.7402,1999,780.9834
1065,2,7,4,2,1,3,16.1,0.023625114,189.3846,2002,3630.6074
1179,3,14,0,1,0,2,12.6,0.051643608,107.3622,1985,317.5866
1185,4,12,1,2,2,2,12.85,0.165694219,39.7164,1998,231.6984
1429,2,7,7,1,1,3,9.5,0.041878397,32.99,2004,133.16
1113,4,11,7,1,1,3,13.8,0.058091482,245.1802,2004,5650.6446
1438,3,14,2,2,1,3,5.78,0.0,263.7568,2007,2636.568
71,4,13,4,2,1,3,19.7,0.026903714,96.0726,2002,1272.3438
1187,4,13,1,2,2,2,14.65,0.0,161.5552,1998,324.9104
1103,3,14,1,2,2,2,6.67,0.150554711,130.0626,1998,131.1626
1518,3,15,1,2,2,2,6.11,0.0,131.2968,1998,260.9936
1520,3,12,1,2,2,2,13.65,0.134975628,260.0936,1998,260.9936
1093,4,6,8,0,2,3,17.2,0.15616879,160.6578,1987,3690.5294
1523,2,6,7,1,1,3,6.32,0.0,40.2822,2004,1139.1838
725,3,9,5,2,0,3,4.88,0.133700752,52.9298,1999,1995.4026
341,3,9,2,2,1,3,5.425,0.115119905,88.3514,2007,1416.8224
1524,3,12,6,1,0,3,15.85,0.110030997,37.2506,1997,265.6542
1228,4,10,2,2,1,3,7.5,0.051038045,121.7072,2007,3552.7088
1049,4,7,8,0,2,3,12.65,0.062837968,161.5578,1987,2406.867
345,4,3,0,1,0,2,12.6,0.017116983,211.956,1985,213.056
390,4,15,8,0,2,3,20.75,0.024129332,124.173,1987,2956.152
1527,4,11,0,1,0,2,12.6,0.049754975,152.134,1985,153.134
774,4,10,7,1,1,3,9.0,0.0,79.7644,2004,1649.8524
764,4,10,9,2,2,1,12.6,0.101561568,181.9292,1985,3101.2964
1230,4,13,9,2,2,1,12.6,0.005949644,165.6526,1985,4769.1254
1557,3,0,9,2,2,1,12.6,0.13956116,170.4764,1985,3435.528
1119,4,15,4,2,1,3,14.1,0.126035694,86.4198,2002,1133.8574
351,4,10,7,1,1,3,7.55,0.027164679,152.334,2004,2603.278
528,4,13,6,1,0,3,13.0,0.099325278,45.406,1997,605.878
1107,4,4,9,2,2,1,12.6,0.04357366,192.8846,1985,2293.0152
522,3,14,0,1,0,2,12.6,0.082741482,118.7782,1985,119.1782
1104,3,2,8,0,2,3,12.3,0.064565202,92.9804,1987,1929.4884
1528,2,14,9,2,2,1,12.6,0.084554569,109.8912,1985,2074.6328
1096,4,8,9,2,2,1,12.6,0.058451805,79.9618,1985,241.6854
1110,4,13,4,2,1,3,17.25,0.113748685,251.3724,2002,6501.8699
630,4,13,2,2,1,3,15.85,0.020603511,42.7112,2007,639.168
387,4,8,7,1,1,3,18.85,0.052044976,192.1846,2004,3248.4382
1521,3,15,2,2,1,3,16.35,0.062764429,227.6062,2007,6501.8699
634,4,11,7,1,1,3,14.1,0.087977262,229.0668,2004,3225.1352
1288,4,14,7,1,1,3,7.905,0.010010425,249.0408,2004,3755.112
459,4,10,8,0,2,3,12.0,0.033946163,179.3976,1987,3440.8544
1116,3,15,7,1,1,3,12.15,0.058414678,163.4552,2004,974.7312
1090,4,6,5,2,0,3,10.1,0.027106459,75.367,1999,535.969
1500,4,12,2,2,1,3,17.5,0.027022883,262.491,2007,5259.82
367,4,11,0,1,0,2,12.6,0.058153409,152.034,1985,306.268
1503,4,15,3,2,2,0,17.1,0.128937661,112.3886,2009,1779.0176
1066,4,15,5,2,0,3,7.785,0.088846306,61.451,1999,759.012
1067,3,14,8,0,2,3,11.8,0.09357779,125.9704,1987,1877.556
1250,3,15,4,2,1,3,13.15,0.165694678,171.8764,2002,3779.0808
105,4,12,0,1,0,2,12.6,0.148392623,41.5796,1985,41.2796
1558,4,10,2,2,1,3,8.5,0.098438394,51.1324,2007,259.662
930,4,8,8,0,2,3,8.645,0.143303291,96.341,1987,193.082
1511,3,6,4,2,1,3,17.6,0.076276208,110.9202,2002,1687.803
1080,4,9,2,2,1,3,9.1,0.175103435,127.5362,2007,4655.9394
1505,3,6,8,0,2,3,12.8,0.023511371,225.9404,1987,4950.8888
651,4,7,7,1,1,3,7.63,0.06105276,95.4436,2004,1418.154
21,3,12,2,2,1,3,9.285,0.049559042,246.4144,2007,1225.072
653,3,11,4,2,1,3,13.6,0.119418124,231.03,2002,5359.69
1223,4,1,4,2,1,3,8.895,0.072545601,176.237,2002,1764.37
655,4,13,8,0,2,3,16.35,0.090486828,195.211,1987,2553.343
1086,4,12,8,0,2,3,17.6,0.056245075,43.3454,1987,1006.6896
1509,4,9,8,0,2,3,7.975,0.014618973,85.225,1987,1081.925
1120,4,2,2,2,1,3,15.85,0.043479126,36.7164,2007,308.9312
1166,4,12,8,0,2,3,15.7,0.045166237,178.666,1987,2516.724
111,3,12,6,1,0,3,8.985,0.057827101,128.831,1997,1428.141
599,4,11,8,0,2,3,20.35,0.089394766,260.1594,1987,2093.2752
1196,4,15,8,0,2,3,6.59,0.10550944,85.6908,1987,1929.4884
1197,4,11,7,1,1,3,19.85,0.005234153,264.0884,2004,5829.7448
1198,4,14,6,1,0,3,16.85,0.036390174,91.4488,1997,2082.6224
1401,4,6,9,2,2,1,12.6,0.03292824,173.1738,1985,6501.8699
1510,4,15,8,0,2,3,16.75,0.081252534,256.4988,1987,6501.8699
1511,3,6,2,2,1,3,17.6,0.076552407,110.5202,2007,450.0808
1288,4,14,1,2,2,2,7.905,0.016758569,250.4408,1998,500.6816
1158,4,14,9,2,2,1,12.6,0.044248175,126.202,1985,3668.558
339,3,15,3,2,2,0,7.785,0.038288087,103.1964,2009,736.3748
1413,4,13,7,1,1,3,7.825,0.186032678,253.0698,2004,6088.0752
1160,4,13,9,2,2,1,12.6,0.031867464,101.0016,1985,2125.2336
1546,4,7,2,2,1,3,20.75,0.021370201,153.0024,2007,2277.036
612,4,15,0,1,0,2,12.6,0.193772568,190.3846,1985,573.2538
615,3,6,7,1,1,3,6.26,0.009866049,151.1366,2004,2267.049
616,4,15,1,2,2,2,18.2,0.082551042,147.3734,1998,296.9468
528,4,13,3,2,2,0,13.0,0.099729888,46.306,2009,559.272
621,3,15,7,1,1,3,20.25,0.018801549,222.1772,2004,5559.43
622,4,13,5,2,0,3,8.695,0.119721451,95.5094,1999,1237.7222
1076,4,7,4,2,1,3,7.27,0.071222087,113.5518,2002,569.259
1159,3,1,9,2,2,1,12.6,0.060371962,174.0712,1985,3866.9664
1161,0,15,4,2,1,3,12.85,0.033287541,198.4768,2002,1379.5376
1502,4,11,3,2,2,0,7.075,0.05858462,142.7128,2009,1869.5664
1553,3,9,9,2,2,1,12.6,0.11679292,196.211,1985,5499.508
1205,4,9,5,2,0,3,8.195,0.031452265,94.3462,1999,925.462
692,4,9,7,1,1,3,7.09,0.00721395,47.9034,2004,583.2408
342,4,3,6,1,0,3,6.095,0.081196619,141.4154,1997,1418.154
1221,3,15,2,2,1,3,19.35,0.049916364,80.2644,2007,942.7728
1209,4,9,6,1,0,3,6.15,0.04627095,99.3384,1997,2364.9216
348,3,10,9,2,2,1,12.6,0.02747716,87.9856,1985,3251.7672
1430,3,15,0,1,0,2,12.6,0.104704537,125.2678,1985,254.3356
697,4,13,7,1,1,3,17.7,0.012540003,167.0474,2004,5895.659
1256,4,5,3,2,2,0,17.85,0.147023834,93.7436,2009,1134.5232
1023,4,7,4,2,1,3,9.395,0.159657596,224.972,2002,6501.8699
350,4,4,2,2,1,3,15.75,0.141398626,250.5382,2007,2775.7202
698,4,15,4,2,1,3,7.475,0.148821808,241.2854,2002,5317.0788
1508,4,12,3,2,2,0,7.075,0.0,98.0068,2009,874.8612
1133,4,9,6,1,0,3,6.445,0.029691762,92.6436,1997,1039.9796
1213,4,15,7,1,1,3,19.1,0.096715523,235.0958,2004,3038.0454
1134,3,11,7,1,1,3,20.25,0.014790559,193.6162,2004,3848.324
1215,3,10,6,1,0,3,15.0,0.054378253,59.1904,1997,527.3136
1507,3,14,6,1,0,3,6.67,0.123428594,89.1514,1997,2390.8878
708,3,10,9,2,2,1,12.6,0.029943463,60.222,1985,1677.816
1139,3,12,8,0,2,3,16.7,0.052368061,112.7176,1987,801.6232
710,4,14,4,2,1,3,7.07,0.093861144,115.5834,2002,1267.0174
712,4,14,4,2,1,3,6.48,0.033968647,148.0076,2002,886.8456
1140,3,15,1,2,2,2,19.0,0.173154079,228.272,1998,452.744
714,4,12,4,2,1,3,13.35,0.139735226,147.5392,2002,3877.6192
1193,4,15,9,2,2,1,12.6,0.043351896,146.6418,1985,4414.254
1240,4,4,9,2,2,1,12.6,0.042086652,122.4388,1985,5448.9072
1220,3,9,5,2,0,3,9.695,0.12848269,223.9404,1999,4950.8888
1218,4,7,2,2,1,3,15.0,0.049357077,62.6168,2007,958.752
326,3,11,2,2,1,3,11.15,0.008326735,149.9708,2007,1956.1204
965,4,15,5,2,0,3,20.85,0.021362955,103.2306,1999,2404.2038
963,4,3,1,2,2,2,9.8,0.151420934,194.3478,1998,387.4956
962,4,6,8,0,2,3,16.35,0.032511818,165.0842,1987,994.7052
1216,3,5,4,2,1,3,9.6,0.022323658,101.299,2002,1754.383
386,4,8,9,2,2,1,12.6,0.019292355,129.9994,1985,3340.9844
666,4,5,4,2,1,3,13.35,0.048124443,216.7166,2002,3918.8988
961,4,11,8,0,2,3,20.7,0.09261307,76.367,1987,306.268
1212,4,9,9,2,2,1,12.6,0.094697274,158.4604,1985,4278.4308
374,4,15,4,2,1,3,16.2,0.035984104,260.6278,2002,4425.5726
954,3,14,9,2,2,1,12.6,0.056596985,230.9984,1985,6501.8699
1210,4,12,0,1,0,2,12.6,0.195979015,76.867,1985,229.701
677,3,1,9,2,2,1,12.6,0.020618324,129.3994,1985,2055.9904
678,4,3,6,1,0,3,5.5,0.04709821,101.3016,1997,3339.6528
680,3,15,4,2,1,3,15.1,0.087584126,221.7456,2002,6410.3224
88,3,12,2,2,1,3,15.7,0.038078899,122.9046,2007,1992.0736
1062,1,1,2,2,1,3,7.895,0.095102092,104.4332,2007,2870.9296
1506,3,10,9,2,2,1,12.6,0.011953902,164.5184,1985,2807.0128
683,3,9,8,0,2,3,17.35,0.062799379,88.183,1987,539.298
1536,4,13,8,0,2,3,7.285,0.031125709,174.3054,1987,4377.635
372,4,13,4,2,1,3,20.25,0.026005891,180.9976,2002,2716.464
1206,4,14,0,1,0,2,12.6,0.09246392,190.9504,1985,383.5008
985,4,7,5,2,0,3,15.85,0.107765165,59.5904,1999,703.0848
307,4,6,5,2,0,3,6.17,0.010647477,66.3826,1999,1937.478
983,4,13,5,2,0,3,19.5,0.015749341,182.2608,1999,3307.6944
63,4,13,5,2,0,3,19.2,0.077628053,197.611,1999,3142.576
764,4,10,3,2,2,0,16.7,0.0,181.2292,2009,2554.0088
686,3,5,3,2,2,0,20.85,0.056695731,104.0648,2009,1869.5664
1504,3,5,4,2,1,3,14.5,0.063993068,260.4594,2002,5494.8474
685,3,6,8,0,2,3,11.395,0.069529262,233.1616,1987,6093.4016
1202,4,7,6,1,0,3,7.97,0.034452949,174.0422,1997,2586.633
28,3,14,5,2,0,3,7.71,0.06670068,55.2956,1999,1255.6988
1200,3,10,6,1,0,3,19.25,0.034699737,141.7496,1997,4093.3384
1502,4,11,6,1,0,3,7.075,0.058346939,142.2128,1997,3163.8816
972,3,6,9,2,2,1,12.6,0.065203103,166.0816,1985,5033.448
952,3,12,6,1,0,3,11.6,0.078929571,79.9276,1997,1137.1864
681,4,15,9,2,2,1,12.6,0.182514881,98.77,1985,2696.49
1550,4,4,3,2,2,0,12.1,0.016895293,178.566,2009,898.83
1189,4,8,6,1,0,3,10.0,0.073379745,118.244,1997,2756.412
927,4,9,4,2,1,3,14.35,0.08075758,81.896,2002,878.856
679,4,14,5,2,0,3,10.395,0.112271498,58.222,1999,659.142
1207,4,11,0,1,0,2,12.6,0.153741385,182.6292,1985,182.4292
923,4,15,8,0,2,3,8.1,0.127929521,211.4902,1987,3610.6334
